"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"S34PE2NG","book","2008","Pirandello, Luigi; Pirandello, Stefano","Nel tempo della lontananza (1919-1936)","","","","","","","2008","2020-05-19 14:16:15","2021-12-29 11:12:35","","","","","","","","","","","","","Salvatore Sciascia Editore","Caltanissetta-Roma","","","","","","","","","","","","","","Zappulla Muscarà, Sarah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZAXSXZF3","book","1974","Alberti, Alberto Cesare","Il teatro nel fascismo. Pirandello e Bragaglia. Documenti inediti negli archivi italiani","","","","","","","1974","2020-05-20 07:50:07","2022-01-04 14:31:40","","","","","","","","","","","","","Bulzoni","Roma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXKWZVQD","book","1995","Pirandello, Luigi","Lettere a Marta Abba","","","","","","","1995","2020-05-20 13:20:59","2020-05-20 13:21:41","","","","","","","","","","","","","Mondadori","Milano","","","","","","","","","","","","","","Ortolani, Benito","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85PL3475","book","2005","NESSUNO","Reale Accademia d’Italia. Inventario dell’archivio","","","","","","","2005","2020-05-21 12:43:43","2022-01-05 14:33:41","","","","","","","","","","","","","Pubblicazioni degli Archivi di Stato Strumenti CLXVII","Roma","","","","","","","","","","","","","","Cangiano de Azevedo, Paola; Gerardi, Elvira","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G5ZGDID4","book","1947","Bontempelli, Massimo","Teatro di Massimo Bontempelli","","","","","","","1947","2020-05-22 08:38:59","2021-12-24 11:03:24","","","","","vol. II","","","","","","","","Mondadori","Milano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZQISB6F5","book","1954","Ojetti, Ugo","I taccuni. 1914-1953","","","","","","","1954","2020-05-27 12:25:40","2021-12-29 10:56:18","","","","","","","","","","","","","Sansoni","Firenze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EH6XM5W4","book","2004","Pirandello, Stefano","Tutto il teatro","","","","","","","2004","2020-05-27 12:57:39","2020-05-27 12:59:26","","","","","","","","","","","","","Bompiani","Milano","","","","","","","","","","","","","","Zappulla Muscarà, Sarah; Zappulla, Enzo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S5ZECTI8","book","2002","Micali, Simona","Miti e riti del moderno: Marinetti, Bontempelli, Pirandello","","","","","","","2002","2020-05-29 09:48:56","2021-12-24 11:31:09","","","","","","","","","Cartografie dell'immaginario","","","","Le Monnier","Firenze","","","","","","Library of Congress ISBN","PQ4088 .M47 2002","","","/Users/irenebertelloni/Zotero/storage/L4HVRBTJ/Micali - 2002 - Miti e riti del moderno Marinetti, Bontempelli, P.pdf","","","Criticism and interpretation; 20th century; Pirandello, Luigi; 19th century; Bontempelli, Massimo; History and criticism; Italian literature; Italy; Marinetti, F. T; Modernism (Literature); Myth in literature; Ritual in literature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KPZFVACV","book","1992","Pirandello, Luigi","Album Pirandello","","","","","","","1992","2020-06-16 13:49:06","2020-06-16 13:49:38","","","","","","","","","","","","","Mondadori","Milano","","","","","","","","","","","","","","Aguirre D'Amico, Maria Luisa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7277FV3N","book","1993","Pirandello, Luigi","Sei personaggi in cerca d'autore","","","","","","","1993","2020-06-17 09:46:02","2020-06-17 09:46:34","","","","","","","","","","","","","Einaudi","Torino","","","","","","","","","","","","","","Davico Bonino, Guido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSLRF4VR","book","1993","Vicentini, Claudio","Pirandello il disagio del teatro","","","","","","","1993","2020-06-18 08:00:06","2020-06-18 08:01:56","","","","","","","","","","","","","Marsilio","Venezia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
